Study_accession,OP_disease,OP_age,OP_sex,OP_tissue_types,OP_organism,OP_strain_info,PR_disease,PR_age,PR_sex,PR_tissue_types,PR_organism,PR_strain_info
GSE100088,0,1,1,1,1,2,0,1,0,1,1,1
GSE1005,0,0,0,0,1,0,0,0,0,0,1,0
GSE100597,0,0,0,1,1,0,0,0,0,1,1,1
GSE100643,0,0,0,0,1,0,0,0,0,0,1,1
GSE100913,0,1,0,1,1,0,0,0,0,1,1,0
GSE100963,2,0,1,1,1,2,0,0,0,1,1,1
GSE101584,0,0,0,0,1,0,0,0,0,0,1,0
GSE101601,0,0,0,1,1,0,0,0,0,1,1,1
GSE101647,0,0,2,2,1,2,0,0,0,1,1,1
GSE101712,0,2,0,2,1,0,0,1,0,0,1,1
GSE101713,0,0,0,0,2,2,0,1,0,1,1,1
GSE101714,0,0,0,0,2,2,0,1,0,1,1,1
GSE101715,0,0,0,0,2,2,0,1,0,1,1,1
GSE101716,0,0,0,0,1,0,0,0,0,1,1,0
GSE101887,0,1,0,1,1,0,0,0,0,1,1,0
GSE101994,0,0,2,1,1,0,0,0,0,0,1,1
GSE102248,0,0,0,2,0,2,0,0,0,1,1,0
GSE102299,0,1,0,1,1,0,0,0,0,0,1,1
GSE102400,0,1,0,1,1,0,0,1,0,1,1,0
GSE10248,0,0,0,2,1,2,0,0,0,0,1,0
GSE102931,0,1,1,1,1,0,0,1,0,1,1,1
GSE103221,0,0,0,2,1,2,0,1,0,0,1,1
GSE103286,1,0,0,1,1,0,1,1,1,1,1,0
GSE103360,0,1,1,1,1,1,0,1,1,1,1,1
GSE103444,0,0,0,0,2,0,0,0,0,1,1,1
GSE103753,0,1,0,1,1,2,1,0,0,1,1,1
GSE104284,0,0,1,0,1,1,0,0,0,1,1,1
GSE104525,0,0,0,1,1,0,0,0,0,1,1,1
GSE104713,0,0,0,0,1,0,0,0,0,0,1,0
GSE105131,0,0,2,1,1,0,0,0,1,1,1,0
GSE106375,2,1,1,0,1,1,0,1,1,1,1,1
GSE106463,2,0,2,2,1,2,0,0,0,1,1,0
GSE106510,2,2,2,2,1,1,0,0,0,0,1,1
GSE106707,0,0,0,1,1,0,0,1,1,0,1,1
GSE106708,0,0,0,2,1,2,0,1,1,1,1,0
GSE107408,0,0,0,0,1,1,0,0,0,0,1,1
GSE107415,0,2,2,1,1,0,0,1,1,0,1,0
GSE107632,0,0,2,0,1,0,0,0,1,0,1,1
GSE107822,2,1,0,2,1,0,0,1,0,1,1,0
GSE108165,0,0,2,1,1,1,0,0,0,0,1,1
GSE108230,0,0,0,2,1,0,0,0,0,0,1,0
GSE108282,1,2,2,1,2,0,0,1,1,0,1,0
GSE108402,0,1,1,1,1,0,0,1,1,1,1,1
GSE108451,0,1,2,0,1,0,0,0,0,1,1,1
GSE108974,0,0,2,1,1,0,0,0,0,0,1,0
GSE109148,0,1,1,1,1,0,0,1,1,1,1,1
GSE109159,0,2,2,2,1,1,0,0,0,1,1,0
GSE109262,0,0,0,1,0,1,0,0,0,0,1,1
GSE109498,0,0,2,0,1,0,0,0,0,0,1,0
GSE109712,0,0,0,0,1,0,0,0,0,0,1,1
GSE109726,0,2,2,2,1,2,0,1,1,1,1,1
GSE109742,0,2,1,2,1,1,0,1,1,0,1,1
GSE109762,0,1,0,0,1,1,0,0,0,0,1,1
GSE109796,0,0,2,1,1,1,0,1,0,1,1,1
GSE109855,0,0,0,1,1,0,0,1,0,1,1,0
GSE109937,0,0,0,0,1,0,0,0,0,0,1,0
GSE109965,0,0,2,1,1,0,0,0,0,1,1,1
GSE110058,0,0,0,2,2,1,0,0,0,1,1,1
GSE110283,1,1,0,1,1,1,0,1,0,1,1,1
GSE110315,0,0,0,1,1,0,0,0,0,1,1,0
GSE110547,0,0,2,2,1,2,0,1,1,1,1,1
GSE110550,0,0,2,2,1,0,0,1,0,1,1,0
GSE110558,0,0,0,2,1,2,0,1,1,1,1,1
GSE110568,0,2,2,1,1,1,0,1,1,1,1,1
GSE110679,0,0,2,1,1,1,0,1,1,1,1,1
GSE110688,0,0,0,1,1,1,0,1,1,1,1,1
GSE110692,0,0,0,1,1,0,0,1,1,1,1,1
GSE111136,0,2,1,1,1,2,0,1,0,0,1,0
GSE111229,0,1,0,2,1,2,0,0,0,1,1,1
GSE112004,0,0,0,0,1,0,0,0,0,0,1,0
GSE112229,0,0,0,0,1,0,0,0,0,0,1,1
GSE112321,1,0,0,2,2,2,0,1,0,1,1,0
GSE112846,0,0,2,0,1,0,0,0,1,0,1,0
GSE113605,0,2,2,2,1,2,0,0,0,0,1,0
GSE11378,0,0,0,1,1,0,0,0,1,1,1,0
GSE114674,0,0,0,1,1,0,0,1,0,1,1,1
GSE115183,0,1,0,1,1,0,0,0,0,1,1,0
GSE115316,1,1,0,0,1,2,0,0,0,0,1,0
GSE115375,0,0,1,0,1,0,0,0,0,0,1,0
GSE11576,0,0,0,0,2,0,0,0,0,0,1,0
GSE115765,0,0,0,2,1,2,0,1,1,1,1,1
GSE115876,0,0,1,1,1,0,0,0,0,1,1,0
GSE116107,0,2,2,2,1,2,0,0,0,0,1,1
GSE11611,0,0,0,2,1,2,0,0,0,1,1,0
GSE116138,0,2,2,2,1,2,0,1,0,0,1,0
GSE116165,0,0,1,0,1,0,0,1,0,0,1,1
GSE116382,0,0,0,1,1,0,0,1,0,1,1,1
GSE116708,0,0,1,0,1,1,0,0,0,1,1,1
GSE117750,0,0,1,0,1,0,0,0,0,1,1,0
GSE118136,0,0,0,1,1,2,0,1,0,0,1,0
GSE118770,0,2,2,1,1,2,0,1,0,1,1,1
GSE118953,0,0,0,0,1,0,0,0,0,0,1,0
GSE119120,0,0,1,1,1,1,0,0,0,1,1,1
GSE119243,0,0,0,0,0,1,0,0,0,0,1,0
GSE119270,0,2,2,0,1,2,0,0,0,1,1,1
GSE119509,0,2,1,2,1,2,0,0,0,1,1,1
GSE119691,0,0,0,0,1,1,0,0,0,0,1,1
GSE120283,2,2,2,2,1,2,0,1,0,1,1,1
GSE120635,0,0,0,0,1,0,0,0,0,0,1,0
GSE120747,0,0,0,0,1,0,0,1,0,1,1,1
